label,split,file,max_score,duration_hours
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000000.wav,0.876471,0.00044444
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000002.wav,0.125490,0.00051111
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000007.wav,1.000000,0.00037778
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000008.wav,0.976471,0.00051111
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000011.wav,0.984314,0.00035556
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000024.wav,1.000000,0.00051111
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000031.wav,1.000000,0.00057778
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000039.wav,0.959804,0.00057778
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000042.wav,1.000000,0.00051111
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000043.wav,1.000000,0.00035556
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000049.wav,1.000000,0.00068889
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000050.wav,1.000000,0.00040000
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000060.wav,0.125490,0.00051111
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000061.wav,1.000000,0.00068889
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000069.wav,0.997059,0.00068889
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000078.wav,0.274510,0.00051111
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000088.wav,0.925490,0.00051111
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000093.wav,1.000000,0.00060000
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000097.wav,1.000000,0.00046667
1,positive,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/eval_holdout/20260429_011002/data/positive_test_split/000097__dup001.wav,1.000000,0.00046667
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean.wav,0.769608,0.00063964
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean10.wav,0.137255,0.00088852
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean2.wav,0.991176,0.00071667
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean3.wav,0.172549,0.00078186
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean4.wav,0.841176,0.00078778
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean5.wav,0.137255,0.00079964
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean6.wav,0.934314,0.00072259
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean7.wav,0.125490,0.00063370
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean8.wav,0.222549,0.00150481
0,negative,/Users/unripeplum/projects/nubjuk/wakeword/datasets/neopjuka/negative_audio/20260428_183135/data/user_ambient_16k/computer_korean9.wav,0.924510,0.00110778
