threshold,frr,faph,precision,recall
0.0000,0.000000,5242.940918,0.666667,1.000000
0.0100,0.000000,2097.176514,0.666667,1.000000
0.0200,0.000000,1980.666626,0.666667,1.000000
0.0300,0.000000,1864.156860,0.666667,1.000000
0.0400,0.000000,1864.156860,0.666667,1.000000
0.0500,0.000000,1747.647095,0.666667,1.000000
0.0600,0.000000,1631.137207,0.666667,1.000000
0.0700,0.000000,1631.137207,0.666667,1.000000
0.0800,0.000000,1631.137207,0.666667,1.000000
0.0900,0.000000,1631.137207,0.666667,1.000000
0.1000,0.000000,1631.137207,0.666667,1.000000
0.1100,0.000000,1398.117676,0.666667,1.000000
0.1200,0.000000,1398.117676,0.666667,1.000000
0.1300,0.100000,1165.098022,0.666667,0.900000
0.1400,0.100000,815.568604,0.720000,0.900000
0.1500,0.100000,815.568604,0.720000,0.900000
0.1600,0.100000,815.568604,0.720000,0.900000
0.1700,0.100000,815.568604,0.720000,0.900000
0.1800,0.100000,699.058838,0.750000,0.900000
0.1900,0.100000,699.058838,0.750000,0.900000
0.2000,0.100000,699.058838,0.750000,0.900000
0.2100,0.100000,699.058838,0.750000,0.900000
0.2200,0.100000,699.058838,0.750000,0.900000
0.2300,0.100000,582.549011,0.782609,0.900000
0.2400,0.100000,582.549011,0.782609,0.900000
0.2500,0.100000,582.549011,0.782609,0.900000
0.2600,0.100000,582.549011,0.782609,0.900000
0.2700,0.100000,582.549011,0.782609,0.900000
0.2800,0.150000,582.549011,0.772727,0.850000
0.2900,0.150000,582.549011,0.772727,0.850000
0.3000,0.150000,582.549011,0.772727,0.850000
0.3100,0.150000,582.549011,0.772727,0.850000
0.3200,0.150000,582.549011,0.772727,0.850000
0.3300,0.150000,582.549011,0.772727,0.850000
0.3400,0.150000,582.549011,0.772727,0.850000
0.3500,0.150000,582.549011,0.772727,0.850000
0.3600,0.150000,582.549011,0.772727,0.850000
0.3700,0.150000,582.549011,0.772727,0.850000
0.3800,0.150000,582.549011,0.772727,0.850000
0.3900,0.150000,582.549011,0.772727,0.850000
0.4000,0.150000,582.549011,0.772727,0.850000
0.4100,0.150000,582.549011,0.772727,0.850000
0.4200,0.150000,582.549011,0.772727,0.850000
0.4300,0.150000,582.549011,0.772727,0.850000
0.4400,0.150000,582.549011,0.772727,0.850000
0.4500,0.150000,582.549011,0.772727,0.850000
0.4600,0.150000,582.549011,0.772727,0.850000
0.4700,0.150000,582.549011,0.772727,0.850000
0.4800,0.150000,582.549011,0.772727,0.850000
0.4900,0.150000,582.549011,0.772727,0.850000
0.5000,0.150000,582.549011,0.772727,0.850000
0.5100,0.150000,582.549011,0.772727,0.850000
0.5200,0.150000,582.549011,0.772727,0.850000
0.5300,0.150000,582.549011,0.772727,0.850000
0.5400,0.150000,582.549011,0.772727,0.850000
0.5500,0.150000,582.549011,0.772727,0.850000
0.5600,0.150000,582.549011,0.772727,0.850000
0.5700,0.150000,582.549011,0.772727,0.850000
0.5800,0.150000,582.549011,0.772727,0.850000
0.5900,0.150000,582.549011,0.772727,0.850000
0.6000,0.150000,582.549011,0.772727,0.850000
0.6100,0.150000,582.549011,0.772727,0.850000
0.6200,0.150000,582.549011,0.772727,0.850000
0.6300,0.150000,582.549011,0.772727,0.850000
0.6400,0.150000,582.549011,0.772727,0.850000
0.6500,0.150000,582.549011,0.772727,0.850000
0.6600,0.150000,582.549011,0.772727,0.850000
0.6700,0.150000,582.549011,0.772727,0.850000
0.6800,0.150000,582.549011,0.772727,0.850000
0.6900,0.150000,582.549011,0.772727,0.850000
0.7000,0.150000,582.549011,0.772727,0.850000
0.7100,0.150000,582.549011,0.772727,0.850000
0.7200,0.150000,582.549011,0.772727,0.850000
0.7300,0.150000,582.549011,0.772727,0.850000
0.7400,0.150000,582.549011,0.772727,0.850000
0.7500,0.150000,582.549011,0.772727,0.850000
0.7600,0.150000,582.549011,0.772727,0.850000
0.7700,0.150000,466.039215,0.809524,0.850000
0.7800,0.150000,466.039215,0.809524,0.850000
0.7900,0.150000,466.039215,0.809524,0.850000
0.8000,0.150000,466.039215,0.809524,0.850000
0.8100,0.150000,466.039215,0.809524,0.850000
0.8200,0.150000,466.039215,0.809524,0.850000
0.8300,0.150000,466.039215,0.809524,0.850000
0.8400,0.150000,466.039215,0.809524,0.850000
0.8500,0.150000,349.529419,0.850000,0.850000
0.8600,0.150000,349.529419,0.850000,0.850000
0.8700,0.150000,349.529419,0.850000,0.850000
0.8800,0.200000,349.529419,0.842105,0.800000
0.8900,0.200000,349.529419,0.842105,0.800000
0.9000,0.200000,349.529419,0.842105,0.800000
0.9100,0.200000,349.529419,0.842105,0.800000
0.9200,0.200000,349.529419,0.842105,0.800000
0.9300,0.250000,233.019608,0.882353,0.750000
0.9400,0.250000,116.509804,0.937500,0.750000
0.9500,0.250000,116.509804,0.937500,0.750000
0.9600,0.300000,116.509804,0.933333,0.700000
0.9700,0.300000,116.509804,0.933333,0.700000
0.9800,0.350000,116.509804,0.928571,0.650000
0.9900,0.400000,116.509804,0.923077,0.600000
1.0000,0.450000,0.000000,1.000000,0.550000
